RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
93.0,0,3,4.0,1.25,1.69,4,0.9,3.72,2,2020.0,4
95.0,1,2,3.35,0.88,1.15,4,0.72,2.65,1,2018.0,4
58.0,0,2,3.69,1.52,1.53,3,0.79,3.83,2,2020.0,1
90.0,0,2,3.52,1.25,1.43,3,0.78,3.46,0,2018.0,2
100.0,0,2,3.34,1.4,1.38,3,0.79,3.57,2,2018.0,1
99.0,2,3,4.27,1.5,1.8,3,0.94,4.24,0,2016.0,4
96.0,2,3,4.33,1.58,1.82,4,0.96,4.37,2,2018.0,4
91.0,0,3,3.91,1.33,1.53,4,0.87,3.73,2,2021.0,3
76.0,1,2,3.41,1.35,1.46,2,0.73,3.53,1,2015.0,4
83.0,0,3,3.87,1.69,1.59,4,0.59,3.87,2,2016.0,4
85.0,1,2,3.26,1.34,1.38,3,0.67,3.39,1,2020.0,0
97.0,0,2,4.03,1.57,1.62,4,0.73,3.92,2,2021.0,3
53.0,1,2,3.35,1.11,1.31,0,0.7,3.12,0,2022.0,3
87.0,0,3,3.98,1.44,1.39,4,0.89,3.72,2,2016.0,0
99.0,2,3,4.02,1.3,1.59,3,0.88,3.77,0,2013.0,4
100.0,0,2,3.98,1.63,1.52,4,0.74,3.89,2,2018.0,3
99.0,0,3,3.92,1.43,1.57,4,0.88,3.88,2,2020.0,3
86.0,0,3,3.98,1.37,1.45,3,0.86,3.68,2,2019.0,3
100.0,0,3,3.77,1.36,1.56,3,0.82,3.74,2,2019.0,0
98.0,0,2,3.73,1.32,1.5,4,0.79,3.61,2,2022.0,0
100.0,0,2,4.1,1.69,1.65,4,0.73,4.07,2,2018.0,3
100.0,0,2,4.15,1.54,1.45,0,0.74,3.72,0,2013.0,2
93.0,2,3,4.45,1.62,1.62,3,0.82,4.06,2,2021.0,2
92.0,0,3,3.87,1.34,1.64,5,0.84,3.82,2,2021.0,4
80.0,0,3,3.34,1.34,1.63,3,0.91,3.88,2,2021.0,3
78.0,0,2,3.82,1.33,1.48,4,0.75,3.55,2,2022.0,3
84.0,0,3,3.88,1.54,1.53,9,0.82,3.88,0,2020.0,4
97.0,0,2,3.97,1.5,1.64,3,0.72,3.85,0,2019.0,3
100.0,0,2,4.04,1.58,1.63,4,0.7,3.91,2,2021.0,3
90.0,0,3,4.19,1.51,1.66,3,0.89,4.07,2,2019.0,0
97.0,1,2,3.62,1.4,1.4,0,0.85,3.65,0,2015.0,4
89.0,0,2,3.69,1.37,1.52,4,0.8,3.69,2,2018.0,4
66.0,0,3,4.34,1.44,1.61,3,0.91,3.96,0,2021.0,3
95.0,1,2,3.33,1.31,1.32,4,0.83,3.46,2,2020.0,2
97.0,0,3,3.63,1.39,1.53,2,0.75,3.66,2,2020.0,4
